office_name,office_address,office_city,office_state,office_zipcode,expense_date,expense_type,amount,description,approved_by_name,approved_by_email,approved_by_phone_number
Dream Homes NYC Branch,2286 Fulton Street,New York,NY,15817-1603,2024-01-28,Office Supplies,1708.56,Avoid suggest past matter talk may. Administration later challenge. Region third quite avoid wind nearly.,Sarah Anderson,sarah.anderson@example.com,928.378.7961x9245
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2023-08-06,Technology,737.96,"Enter involve side direction surface but. End work think center.
Ten newspaper goal training food one along.",Isabella Cooper,isabella.cooper@example.com,400-359-8217
Dream Homes NYC Branch,7044 Canal Street,New York,NY,58173-5454,2024-07-23,Office Supplies,3370.12,"North none friend officer success. Owner put find direction country second remember structure. To always most.
One only determine.",John Ward,john.ward@example.com,+1-258-818-4636x908
Dream Homes NYC Branch,513 Bowery,New York,NY,12128-1870,2023-11-15,Miscellaneous,387.55,Score worker tax movie because light. Draw ask really if price.,Elijah Mitchell,elijah.mitchell@example.com,225-595-2028
Dream Homes NYC Branch,427 3rd Ave,New York,NY,94286-3030,2024-06-04,Marketing,2834.76,"Show these allow both anyone. Area allow husband party bit point.
On cell today mother. Perhaps require employee sound. Window take actually art product camera heavy plan.",Connor Brown,connor.brown@example.com,001-876-332-4614x43389
Dream Homes NYC Branch,626 Forest Ave,New York,NY,50698-1964,2024-06-22,Maintenance,3222.05,"Interesting meet deal term course always treat protect.
Young take store mother already project. Into board early similar pattern notice among management.",Jordan Ramirez,jordan.ramirez@example.com,8232736559
Dream Homes NYC Branch,03646 Fordham Road,New York,NY,12507-2403,2023-08-25,Travel,1573.35,Moment great record deep poor stock. Fund form most half performance wish somebody. Nor his sister stuff help summer concern.,Aurora Lewis,aurora.lewis@example.com,(693)282-2878x4655
Dream Homes NYC Branch,626 Forest Ave,New York,NY,50698-1964,2023-09-29,Event,249.99,"Public out despite south never. Back policy loss fight rock environmental. Soldier computer positive yet fill exactly.
Within nothing true.",Nora Green,nora.green@example.com,9907531665
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2024-04-02,Rent,4895.6,"Almost hand write else I production. Apply manage sell do stay special.
Civil those bad blood I forward could. Key from clearly room. Large imagine consumer goal region answer agree.",Jonathan Peterson,jonathan.peterson@example.com,(682)757-1903
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2024-06-12,Maintenance,1538.6,"Throughout north happen house. Better run pull inside.
Themselves reality read under. Family knowledge majority thought even speech. Be will production. Effort education available.",Jonathan Barnes,jonathan.barnes@example.com,001-966-810-4156x18920
Dream Homes NYC Branch,427 3rd Ave,New York,NY,94286-3030,2023-10-14,Marketing,3790.93,"Remember try employee then growth case yet. Check son behind notice. Myself institution thought it more range suffer.
Direction enjoy yard add number. Laugh card past state after black.",Aurora Lewis,aurora.lewis@example.com,(693)282-2878x4655
Dream Homes NYC Branch,75745 Victory Blvd,New York,NY,92756-5802,2024-02-12,Utilities,3376.37,Speech pay writer range every design. Notice small movement back media official.,Lucas Johnson,lucas.johnson@example.com,419.456.7101x2711
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2024-06-15,Technology,3202.17,"Market ask support case military bed. Star far material.
Seem should near test discover. Investment ground sister.
Remember commercial three current. Green base perform lose.",Logan Griffin,logan.griffin@example.com,001-226-662-5961x8681
Dream Homes NYC Branch,513 Bowery,New York,NY,12128-1870,2024-07-07,Marketing,3413.4,"Own far protect drop success.
Remember let I theory politics whom high. High American soldier writer dog although doctor.
Support interest newspaper hand vote tree.",Mason Jones,mason.jones@example.com,001-754-945-5867
Dream Homes NYC Branch,75745 Victory Blvd,New York,NY,92756-5802,2023-12-12,Technology,305.5,Change threat record western. Coach off into her effort. Firm raise big skill opportunity record find.,James Moore,james.moore@example.com,728-839-9510x7886
Dream Homes NYC Branch,626 Forest Ave,New York,NY,50698-1964,2024-03-15,Marketing,3748.04,Goal window every reduce everything do common different. Region concern share rate administration start group like.,Charles Lewis,charles.lewis@example.com,681-602-1559
Dream Homes NYC Branch,7044 Canal Street,New York,NY,58173-5454,2023-12-19,Office Supplies,583.91,"Recently ever message oil matter resource. Step teach push air several public store mention.
Site likely poor likely must. Structure value toward economy. Explain dream town term wife argue.",Lily Hughes,lily.hughes@example.com,(227)555-8378
Dream Homes NYC Branch,427 3rd Ave,New York,NY,94286-3030,2024-01-27,Rent,2806.68,"Part memory soldier consider get when quite investment.
Computer word policy indeed check. City daughter dark door pretty effort.",Stephanie Anderson,stephanie.anderson@example.com,001-976-997-0419x503
Dream Homes NYC Branch,710 Bleecker Street,New York,NY,70967-8816,2024-04-27,Technology,2789.21,Science democratic style such address eight follow. Six send high lot test full nothing. Discuss son unit including.,Nicholas Wilson,nicholas.wilson@example.com,(777)228-8360x405
Dream Homes NYC Branch,75745 Victory Blvd,New York,NY,92756-5802,2023-09-24,Miscellaneous,2529.11,Move perform strategy choice whether. Career close store century television live guy.,Amanda Nelson,amanda.nelson@example.com,(404)561-6805
Dream Homes NYC Branch,427 3rd Ave,New York,NY,94286-3030,2024-05-27,Training,3510.41,"According bank feeling national. Billion think law. Different participant view professor way ability.
Provide option film. Focus they left central big west.
Leader bad stage growth.",Jacob Robinson,jacob.robinson@example.com,(459)552-9591x20697
Dream Homes NYC Branch,75745 Victory Blvd,New York,NY,92756-5802,2024-07-19,Rent,114.94,Our wear eight nation wrong. Congress turn may draw. Simply memory whom market great. Act majority become pay left material traditional.,Laura Kelly,laura.kelly@example.com,(993)548-4032x57113
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2023-10-13,Rent,4270.07,Name huge land report. Task question among power resource real start. Hour marriage remain. What mother third assume significant drop.,Laura Kelly,laura.kelly@example.com,(993)548-4032x57113
Dream Homes NYC Branch,7044 Canal Street,New York,NY,58173-5454,2023-11-06,Technology,4963.78,"Majority drug dinner.
Total network music lead. Eight similar citizen almost fund.
Their will either add. Civil Congress thought say popular character spring. Before well when tree.",Sophia Lopez,sophia.lopez@example.com,+1-492-272-8558x730
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2024-02-18,Maintenance,4382.83,Develop provide sell coach cold both. Finish glass improve prevent bill computer. Discussion dinner since western structure thank.,Stephanie Anderson,stephanie.anderson@example.com,001-976-997-0419x503
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2024-03-02,Marketing,1906.91,"Total author so oil. Mrs agent go reality remain three right. Dinner every offer tough live.
Everything per outside enough story moment.",Charles Scott,charles.scott@example.com,873.609.8250x546
Dream Homes NYC Branch,513 Bowery,New York,NY,12128-1870,2023-11-03,Event,2873.6,"Dark project capital reveal west carry. Baby play clear first by know reality. Such test well child growth young house.
Region green fill.",Timothy Green,timothy.green@example.com,(725)321-0814x94362
Dream Homes NYC Branch,03646 Fordham Road,New York,NY,12507-2403,2024-03-22,Technology,2840.6,"Budget next practice fish house. Sell business prepare discover reflect college. Win show candidate side customer.
Per yourself at thus where. Bag large per visit father.",Lillian Griffin,lillian.griffin@example.com,(472)527-8367x11159
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2024-03-28,Miscellaneous,3373.86,"Story west health.
Table represent although deal voice happy full. Example most performance ok technology. Allow mission far occur affect.",Elijah Mitchell,elijah.mitchell@example.com,225-595-2028
Dream Homes NYC Branch,03646 Fordham Road,New York,NY,12507-2403,2023-10-12,Rent,3699.41,"Seek member carry still price allow choice. Risk medical local degree probably. Visit else speech.
Lose treatment hair billion. Baby ever surface kitchen operation.",Adam Phillips,adam.phillips@example.com,416.847.9650x33936
Dream Homes NYC Branch,626 Forest Ave,New York,NY,50698-1964,2024-06-08,Office Supplies,3818.48,Teach head book sport chance fish happen. Eye short hold hear. Different Mrs American place occur. Save safe kitchen turn such condition dream.,Victoria James,victoria.james@example.com,(919)284-4529x7879
Dream Homes NYC Branch,513 Bowery,New York,NY,12128-1870,2024-06-02,Maintenance,2620.82,Instead bring at plan senior pull less. Word contain drop individual. Card ever six mouth smile off.,Lillian Long,lillian.long@example.com,(401)822-9683
Dream Homes NYC Branch,710 Bleecker Street,New York,NY,70967-8816,2024-06-12,Technology,2723.94,"Key arm occur top style. Admit anything green sing. Newspaper idea part along knowledge actually.
Its people health watch. Today newspaper owner international four today.",Connor Brown,connor.brown@example.com,001-876-332-4614x43389
Dream Homes NYC Branch,03646 Fordham Road,New York,NY,12507-2403,2024-02-20,Marketing,3287.52,Recent among tough need admit hair building. Challenge reason indicate western. Maintain majority outside. Plant store ball.,Jonathan Barnes,jonathan.barnes@example.com,001-966-810-4156x18920
Dream Homes NYC Branch,626 Forest Ave,New York,NY,50698-1964,2023-11-23,Event,2424.34,"Human wife reduce. Analysis blood gun office Mrs only.
Detail our between serious sell we item. Treat hair six free buy able west. Over peace up in institution south professional.",Jonathan Peterson,jonathan.peterson@example.com,(682)757-1903
Dream Homes NYC Branch,710 Bleecker Street,New York,NY,70967-8816,2024-05-07,Miscellaneous,3035.54,"Ago loss fish heart individual between.
Grow exist decide sure. Difference more another alone but yourself fall.
Exactly station what market. Within bar eat team Republican usually wrong.",John Wright,john.wright@example.com,(917)720-3157
Dream Homes NYC Branch,427 3rd Ave,New York,NY,94286-3030,2023-10-29,Rent,2706.35,"Behavior man itself of.
Although sense baby difficult drug free. Worker worry remember reveal. Huge each just head recognize appear candidate certain. Friend past agent consider maybe.",Michelle Perry,michelle.perry@example.com,001-888-493-8555x56198
Dream Homes NYC Branch,427 3rd Ave,New York,NY,94286-3030,2023-08-04,Training,231.5,Now indicate similar cost image choice. Statement herself baby film western. During together focus individual.,Jonathan Barnes,jonathan.barnes@example.com,001-966-810-4156x18920
Dream Homes NYC Branch,626 Forest Ave,New York,NY,50698-1964,2024-05-23,Marketing,2364.13,"After age machine recent religious into adult purpose. Pass party less energy amount.
Race trade front cell. Event debate attorney sea region staff exactly. Possible computer reason son school.",Connor Brown,connor.brown@example.com,001-876-332-4614x43389
Dream Homes NYC Branch,83666 Northern Blvd,New York,NY,38867-4357,2023-09-28,Technology,954.05,Body them specific get begin sort. Knowledge away southern determine approach health. Physical visit thought girl four exist. Admit save director power become leave.,David Turner,david.turner@example.com,001-977-676-8903x8512
Dream Homes NYC Branch,83666 Northern Blvd,New York,NY,38867-4357,2023-10-30,Training,1795.86,"Service program how base. Green million necessary economy important serve.
Market on which sea simply start. Line try no difference assume second.
Market fish science best eye focus.",Aaron Rodriguez,aaron.rodriguez@example.com,278.273.4407
Dream Homes NYC Branch,03646 Fordham Road,New York,NY,12507-2403,2023-10-12,Technology,4346.89,Huge feeling pull form you wrong base. Sister treatment idea common fill traditional power. Group must meeting away.,Addison Rivera,addison.rivera@example.com,660.643.8462x27867
Dream Homes NYC Branch,513 Bowery,New York,NY,12128-1870,2024-03-21,Maintenance,1187.44,"Together common where three scene main yard explain. Interview down ever culture.
Never through trade. Smile present realize federal charge chance.
Often not author. All brother travel page.",Kevin Ross,kevin.ross@example.com,975-590-5576x5584
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2024-01-26,Miscellaneous,747.99,"Approach have oil. Window job show. Personal town up realize decade ready.
Issue source feel account. Area customer agency eat.",Elijah Mitchell,elijah.mitchell@example.com,225-595-2028
Dream Homes NYC Branch,626 Forest Ave,New York,NY,50698-1964,2023-07-31,Event,1047.94,"Term again research. Nearly our treatment so set.
Identify painting enjoy walk. Year prove create himself. Blue music your impact scientist decade center.",Aaron Rodriguez,aaron.rodriguez@example.com,278.273.4407
Dream Homes NYC Branch,75745 Victory Blvd,New York,NY,92756-5802,2023-12-02,Miscellaneous,1231.1,"Little paper risk outside agent result.
Response according bad hand up down. High least money language on. Suffer help agency account surface around.",Chloe Cooper,chloe.cooper@example.com,252-476-8743
Dream Homes NYC Branch,75745 Victory Blvd,New York,NY,92756-5802,2024-03-31,Utilities,418.21,"Least during those responsibility near player common.
Far street law wait health indicate. Really century thank college western class.",Isabella Cooper,isabella.cooper@example.com,400-359-8217
Dream Homes NYC Branch,427 3rd Ave,New York,NY,94286-3030,2024-02-22,Office Supplies,3968.09,"Standard skin player point theory different treat.
Sort manage religious his win long. Head traditional rich various walk although.",Connor Brown,connor.brown@example.com,001-876-332-4614x43389
Dream Homes NYC Branch,83666 Northern Blvd,New York,NY,38867-4357,2023-09-23,Travel,116.62,Ago better yeah before model nice. Pm look threat letter allow. Drive suggest image receive. Hospital factor oil.,Adam Phillips,adam.phillips@example.com,416.847.9650x33936
Dream Homes NYC Branch,2286 Fulton Street,New York,NY,15817-1603,2023-08-24,Travel,445.7,Job share paper look dog open board. Discover child market key room. Total still suffer.,Adam Phillips,adam.phillips@example.com,416.847.9650x33936
Dream Homes NYC Branch,626 Forest Ave,New York,NY,50698-1964,2023-09-12,Maintenance,1618.42,Already commercial series degree. Unit it TV participant it. Body president among Congress stop difference son.,Addison Rivera,addison.rivera@example.com,660.643.8462x27867
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2023-08-21,Maintenance,1278.0,"Information daughter soldier. Cut store few debate among area. Ready of water forward fish.
Benefit mother risk daughter large have. Scientist could them.",James Moore,james.moore@example.com,728-839-9510x7886
Dream Homes NYC Branch,03646 Fordham Road,New York,NY,12507-2403,2023-08-26,Marketing,4304.08,Per work strong general success too garden. Assume scientist good realize scientist join answer. Law generation memory soon door chance send its.,Jonathan Barnes,jonathan.barnes@example.com,001-966-810-4156x18920
Dream Homes NYC Branch,427 3rd Ave,New York,NY,94286-3030,2024-02-15,Training,4551.92,Leader tonight rock pressure. Seven popular individual. Hospital ahead explain media military edge serious.,Sarah Anderson,sarah.anderson@example.com,928.378.7961x9245
Dream Homes NYC Branch,513 Bowery,New York,NY,12128-1870,2024-05-27,Technology,1407.68,Just radio professor film interview. Kind happy per event candidate state commercial.,Laura Kelly,laura.kelly@example.com,(993)548-4032x57113
Dream Homes NYC Branch,427 3rd Ave,New York,NY,94286-3030,2024-01-10,Rent,3488.92,"Management or visit. Collection wall chair prevent church.
Happy help though project blood. East feeling meet sound firm believe build Democrat. Hard dog generation drug.",Rebecca Collins,rebecca.collins@example.com,+1-769-307-6848x0316
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2024-04-17,Rent,2266.24,"Garden first least event green hair color. Short describe four set leg perform try performance. Fear federal fall support.
Back base him. Everyone share program become paper.",Connor Brown,connor.brown@example.com,001-876-332-4614x43389
Dream Homes NYC Branch,03646 Fordham Road,New York,NY,12507-2403,2024-02-25,Maintenance,4576.76,"Sign enough use dark language. Keep heart writer under environment.
Focus American whose technology American sell song. Certain sister bar local information oil view hundred.",Isabella Cooper,isabella.cooper@example.com,400-359-8217
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2023-10-17,Travel,3652.07,Firm fight citizen guy. Available good trial. Present economic view black evidence fine fine.,Samuel Young,samuel.young@example.com,635-921-1818
