name,email,phone_number,date_of_birth,address,city,state,zipcode,neighborhood,office_phone_number,office_email,employment_status,sales_total,hire_date,termination_date,license_number,specialties,rating
Isaac Martin,isaac.martin@example.com,001-363-984-8072x59286,1964-10-09,6739 Steinway Street,New York,NY,42304-3550,Manhattan,8278386211,nicholaspruitt@lee.com,Inactive,0,2021-08-13,,odD-1447-9626,"Foreclosures, Investment, Residential",2.06
Jackson Bennett,jackson.bennett@example.com,+1-233-608-7464x139,1997-04-10,49865 5th Ave,New York,NY,26186-5505,Manhattan,898-383-2512x851,robert99@bright-schwartz.com,Active,0,2022-12-27,,,,
Penelope Lee,penelope.lee@example.com,001-390-668-9098x14557,1973-07-07,01011 Columbus Ave,New York,NY,94950-6839,Brooklyn,(873)661-5400,williamnelson@gibson.org,Inactive,0,2022-04-25,,Kzp-1405-1845,"Short Sales, Residential",1.82
Adam Moore,adam.moore@example.com,(842)236-5247,1988-08-20,5223 Wall Street,New York,NY,51751-6431,Queens,433.842.8128x753,mary03@alvarado-shaw.com,Active,0,2024-02-18,,,,
Zoey Morris,zoey.morris@example.com,+1-625-789-2898x54136,1998-06-06,1722 Jerome Ave,New York,NY,67283-8027,Brooklyn,8278386211,nicholaspruitt@lee.com,Terminated,0,2022-02-20,2021-06-25,WuZ-3300-5851,"Commercial, Residential, Foreclosures, Short Sales, Luxury",1.73
Adam Long,adam.long@example.com,904-959-7478x6851,1983-07-06,5715 Fulton Street,New York,NY,15560-3772,Bronx,(486)423-9409,ariel95@carey.com,On Leave,0,2021-09-18,,,,
Megan James,megan.james@example.com,822-548-4533x507,2001-08-03,269 Park Ave,New York,NY,44396-7528,Queens,421-290-1804x25405,meyermary@price.biz,On Leave,0,2023-02-03,,qSP-9708-8807,"Investment, Short Sales, Commercial, Luxury",1.66
Brandon King,brandon.king@example.com,365.822.5778,1991-03-02,2907 Jerome Ave,New York,NY,87466-2080,Queens,+1-481-830-7656x199,lcraig@harrison-may.com,On Leave,0,2020-01-10,,,,
Timothy Gray,timothy.gray@example.com,248-911-5693x53570,1959-03-14,619 Broadway,New York,NY,93798-3338,Bronx,(486)423-9409,ariel95@carey.com,Inactive,0,2024-04-14,,HAX-7108-9108,"Investment, Foreclosures, Property Management",1.16
Jackson Hall,jackson.hall@example.com,774-491-2206x662,1966-10-27,4770 Madison Ave,New York,NY,49689-3445,Brooklyn,(486)423-9409,ariel95@carey.com,Terminated,0,2023-08-05,2020-03-06,,,
Amber Turner,amber.turner@example.com,(887)646-0158x537,1983-07-16,3159 Jerome Ave,New York,NY,19758-4371,Manhattan,4799237892,hwilkinson@martinez.com,Inactive,0,2019-11-24,,ybc-0314-4455,"Residential, Leasing",2.46
Madison Murphy,madison.murphy@example.com,829-921-4495,1988-11-16,64248 Steinway Street,New York,NY,92867-7411,Manhattan,898-383-2512x851,robert99@bright-schwartz.com,Active,0,2020-10-08,,,,
Eric Torres,eric.torres@example.com,731.595.5037,1986-06-19,9397 5th Ave,New York,NY,40793-1249,Staten Island,+1-481-830-7656x199,lcraig@harrison-may.com,On Leave,0,2019-08-19,,rOp-9284-9068,"Short Sales, Leasing, Residential, Foreclosures",1.71
Madison Young,madison.young@example.com,001-855-402-3922,1966-03-18,7682 5th Ave,New York,NY,84648-4919,Brooklyn,433.842.8128x753,mary03@alvarado-shaw.com,Active,0,2021-07-07,,,,
Elijah Anderson,elijah.anderson@example.com,372.357.1747,1952-09-09,99765 Amsterdam Ave,New York,NY,27662-2343,Bronx,(873)661-5400,williamnelson@gibson.org,On Leave,0,2022-10-18,,sHI-6511-5298,"Foreclosures, Residential, Investment",4.59
Brandon Ward,brandon.ward@example.com,001-958-999-3744x20373,1981-03-09,16463 Houston Street,New York,NY,71868-4898,Manhattan,+1-481-830-7656x199,lcraig@harrison-may.com,Inactive,0,2020-08-12,,,,
Avery Parker,avery.parker@example.com,001-795-776-9100,2003-08-31,0136 Bleecker Street,New York,NY,58420-3676,Staten Island,(873)661-5400,williamnelson@gibson.org,Terminated,0,2023-03-21,2021-01-17,nCD-4558-5716,Residential,1.6
Kimberly Rivera,kimberly.rivera@example.com,916-348-2465x3298,1988-09-15,284 Steinway Street,New York,NY,30226-2043,Queens,(486)423-9409,ariel95@carey.com,On Leave,0,2022-02-17,,,,
Connor James,connor.james@example.com,6064057803,2003-06-22,0018 Central Park West,New York,NY,18034-9905,Brooklyn,(486)423-9409,ariel95@carey.com,Inactive,0,2021-02-13,,PIT-6457-8107,"Commercial, Residential, Short Sales, Investment",1.59
Aurora Phillips,aurora.phillips@example.com,251-660-2440x94861,1968-03-04,866 West End Ave,New York,NY,82361-5038,Queens,433.842.8128x753,mary03@alvarado-shaw.com,Inactive,0,2022-08-19,,,,
Benjamin Brown,benjamin.brown@example.com,421-584-1514x94585,1998-03-21,34112 Fordham Road,New York,NY,65568-1546,Staten Island,898-383-2512x851,robert99@bright-schwartz.com,On Leave,0,2022-06-21,,swd-8639-5417,Short Sales,4.86
Mason Peterson,mason.peterson@example.com,759-673-9765,1971-10-06,37299 3rd Ave,New York,NY,97176-8781,Bronx,(873)661-5400,williamnelson@gibson.org,Inactive,0,2019-12-01,,,,
Gabriel Wright,gabriel.wright@example.com,(845)296-3984x71036,1974-06-26,83648 Fulton Street,New York,NY,48282-8169,Queens,+1-481-830-7656x199,lcraig@harrison-may.com,Terminated,0,2021-03-22,2019-10-19,EfP-7325-5311,"Property Management, Leasing",1.04
Mia Carter,mia.carter@example.com,(287)338-8871,1951-01-12,59720 Central Park West,New York,NY,19987-3520,Manhattan,+1-459-717-5714x64028,djackson@morgan.com,Terminated,0,2021-08-11,2021-07-20,,,
Evelyn Allen,evelyn.allen@example.com,001-362-537-2547x611,1966-07-17,51892 4th Ave,New York,NY,97670-2909,Bronx,+1-459-717-5714x64028,djackson@morgan.com,Inactive,0,2024-03-28,,Qdh-7299-4102,"Luxury, Short Sales, Leasing, Commercial",2.32
Lauren Jackson,lauren.jackson@example.com,781-348-6703x62663,1985-07-15,221 4th Ave,New York,NY,72288-1928,Manhattan,8278386211,nicholaspruitt@lee.com,Inactive,0,2022-12-14,,,,
Brittany Cook,brittany.cook@example.com,614.545.2723x889,1998-09-14,0663 Roosevelt Ave,New York,NY,95609-4790,Queens,421-290-1804x25405,meyermary@price.biz,On Leave,0,2023-07-08,,lKY-9427-2799,"Property Management, Luxury, Residential, Investment",1.1
Ethan Evans,ethan.evans@example.com,869-496-1238x274,1973-10-11,200 Jerome Ave,New York,NY,26522-3002,Queens,(794)903-5781x304,riverasteven@hicks.com,Active,0,2020-07-14,,,,
Brandon Hughes,brandon.hughes@example.com,624-945-0590x711,1957-02-02,74727 Roosevelt Ave,New York,NY,10807-4715,Brooklyn,+1-459-717-5714x64028,djackson@morgan.com,On Leave,0,2021-03-06,,nYL-3350-7048,"Investment, Short Sales, Residential",2.39
Anthony Washington,anthony.washington@example.com,+1-354-637-2844x551,1946-07-12,2954 Queens Blvd,New York,NY,75685-8433,Manhattan,(794)903-5781x304,riverasteven@hicks.com,Active,0,2023-12-10,,,,
Stephanie Turner,stephanie.turner@example.com,001-474-536-6384x5920,1945-04-24,1612 Wall Street,New York,NY,40933-9764,Queens,+1-481-830-7656x199,lcraig@harrison-may.com,Active,0,2020-04-22,,ksq-3461-5734,"Commercial, Short Sales, Residential, Property Management, Investment",4.96
Heather Hughes,heather.hughes@example.com,(877)951-1113,1956-03-04,8762 Wall Street,New York,NY,21503-6289,Brooklyn,(794)903-5781x304,riverasteven@hicks.com,Inactive,0,2022-09-17,,,,
Charlotte Martin,charlotte.martin@example.com,950.771.3669x95878,1959-02-05,40123 Wall Street,New York,NY,23266-3898,Brooklyn,4799237892,hwilkinson@martinez.com,Active,0,2021-07-15,,fLc-8738-1966,"Foreclosures, Property Management, Commercial, Leasing, Luxury",4.92
David Torres,david.torres@example.com,990-305-5099x0562,1966-09-20,17172 Northern Blvd,New York,NY,62699-3042,Bronx,+1-459-717-5714x64028,djackson@morgan.com,Active,0,2022-05-01,,,,
Patrick Powell,patrick.powell@example.com,327-982-4478x81440,1988-02-21,9072 Mulberry Street,New York,NY,78484-1386,Queens,8278386211,nicholaspruitt@lee.com,Terminated,0,2023-01-31,2020-05-16,Iqo-6316-3013,"Luxury, Leasing, Investment",3.16
Melissa Garcia,melissa.garcia@example.com,(263)547-1601x37048,1963-09-18,664 Jerome Ave,New York,NY,48601-3420,Brooklyn,(794)903-5781x304,riverasteven@hicks.com,Active,0,2021-07-06,,,,
Laura Young,laura.young@example.com,001-421-375-3582x3452,1973-10-01,786 3rd Ave,New York,NY,84349-4154,Brooklyn,(486)423-9409,ariel95@carey.com,On Leave,0,2023-06-04,,yrO-9745-3917,"Leasing, Residential, Short Sales, Investment, Property Management",2.24
Dylan Ward,dylan.ward@example.com,792.550.1238,1952-01-16,670 1st Ave,New York,NY,89793-1203,Manhattan,421-290-1804x25405,meyermary@price.biz,Inactive,0,2020-08-05,,,,
Aria Foster,aria.foster@example.com,533.882.1481x87114,1984-10-12,9862 4th Ave,New York,NY,24026-3920,Brooklyn,4799237892,hwilkinson@martinez.com,Terminated,0,2020-12-05,2022-12-07,yil-6298-3323,"Residential, Luxury",1.37
Caleb Long,caleb.long@example.com,516.534.7834x271,1958-09-10,8269 4th Ave,New York,NY,73251-4629,Brooklyn,433.842.8128x753,mary03@alvarado-shaw.com,On Leave,0,2024-04-19,,,,
Kimberly Richardson,kimberly.richardson@example.com,638-789-6112,1974-11-05,46922 Jerome Ave,New York,NY,92808-6418,Manhattan,421-290-1804x25405,meyermary@price.biz,Inactive,0,2020-05-20,,jDt-2083-7200,"Property Management, Short Sales, Investment, Residential",2.49
Abigail Scott,abigail.scott@example.com,661.359.1636x942,1973-07-27,903 Arthur Ave,New York,NY,88862-5898,Brooklyn,(486)423-9409,ariel95@carey.com,Active,0,2021-02-07,,,,
Abigail Cox,abigail.cox@example.com,+1-792-865-2809x346,1947-07-26,24846 Mulberry Street,New York,NY,35624-6781,Brooklyn,421-290-1804x25405,meyermary@price.biz,Inactive,0,2023-06-22,,ZXn-6955-1074,Property Management,3.45
Aurora Hayes,aurora.hayes@example.com,955.457.2054x6149,1949-01-24,30494 Bleecker Street,New York,NY,63567-6237,Brooklyn,+1-459-717-5714x64028,djackson@morgan.com,Active,0,2023-07-29,,,,
Hannah Gray,hannah.gray@example.com,(837)628-7664,1962-07-02,78107 2nd Ave,New York,NY,58070-6161,Brooklyn,(486)423-9409,ariel95@carey.com,On Leave,0,2023-03-03,,dNi-7279-8345,"Investment, Foreclosures, Property Management",4.19
Jessica Sanders,jessica.sanders@example.com,001-348-605-5955,1987-08-06,797 Fulton Street,New York,NY,56029-5341,Brooklyn,898-383-2512x851,robert99@bright-schwartz.com,Inactive,0,2023-07-27,,,,
Sophia Bell,sophia.bell@example.com,637.836.7912x513,1992-05-21,841 3rd Ave,New York,NY,41535-3584,Staten Island,8278386211,nicholaspruitt@lee.com,Terminated,0,2022-07-29,2021-02-20,eqY-0522-5247,Luxury,1.24
Crystal Anderson,crystal.anderson@example.com,4419662236,1951-09-10,101 Lexington Ave,New York,NY,96395-3155,Brooklyn,433.842.8128x753,mary03@alvarado-shaw.com,Inactive,0,2022-04-23,,,,
Alexander Price,alexander.price@example.com,(327)921-5925,1964-12-07,228 1st Ave,New York,NY,83391-9942,Brooklyn,+1-459-717-5714x64028,djackson@morgan.com,Terminated,0,2024-05-29,2021-01-14,cNy-7620-4587,"Property Management, Commercial, Short Sales, Residential",1.8
Aaron Jones,aaron.jones@example.com,334.760.1707,1973-01-08,437 Arthur Ave,New York,NY,46109-9428,Staten Island,(486)423-9409,ariel95@carey.com,Inactive,0,2022-09-24,,,,
Chris Ross,chris.ross@example.com,439-914-6410,1960-03-15,1185 West End Ave,New York,NY,78566-5705,Manhattan,8278386211,nicholaspruitt@lee.com,Terminated,0,2021-05-17,2021-03-27,ACw-0735-0388,Commercial,4.88
Mia Rivera,mia.rivera@example.com,+1-784-577-5462x5665,1980-06-16,3461 Jerome Ave,New York,NY,54376-1544,Staten Island,421-290-1804x25405,meyermary@price.biz,Inactive,0,2022-05-11,,,,
Jackson Gray,jackson.gray@example.com,508-467-9511x584,1943-11-07,383 Houston Street,New York,NY,43361-9593,Brooklyn,433.842.8128x753,mary03@alvarado-shaw.com,Active,0,2023-10-07,,SYT-1179-2334,Property Management,1.14
Adam Lopez,adam.lopez@example.com,224.759.1180x677,1968-12-06,159 Queens Blvd,New York,NY,60966-9711,Staten Island,(873)661-5400,williamnelson@gibson.org,Inactive,0,2020-09-30,,,,
Jonathan Flores,jonathan.flores@example.com,001-618-433-6796x25935,1997-09-12,0485 Roosevelt Ave,New York,NY,53176-9998,Manhattan,421-290-1804x25405,meyermary@price.biz,Terminated,0,2022-07-13,2019-08-09,mou-5689-1925,"Residential, Foreclosures, Commercial, Short Sales",1.33
Sarah Price,sarah.price@example.com,535-481-3978x665,1978-11-22,2952 Arthur Ave,New York,NY,15107-3510,Manhattan,(873)661-5400,williamnelson@gibson.org,On Leave,0,2023-06-15,,,,
Patrick Butler,patrick.butler@example.com,001-860-496-2701x3029,2006-02-03,27054 Fulton Street,New York,NY,70063-6051,Brooklyn,(794)903-5781x304,riverasteven@hicks.com,On Leave,0,2024-05-15,,Pvs-3042-1620,"Residential, Luxury, Leasing, Investment",4.36
Jacob Jones,jacob.jones@example.com,001-981-312-9229x71168,1951-06-26,240 Forest Ave,New York,NY,68158-9509,Queens,(486)423-9409,ariel95@carey.com,Terminated,0,2023-07-13,2022-11-06,,,
Joseph Gonzalez,joseph.gonzalez@example.com,+1-383-880-3747x6221,1948-05-26,953 Grand Concourse,New York,NY,56473-1098,Staten Island,+1-481-830-7656x199,lcraig@harrison-may.com,Terminated,0,2019-11-03,2023-07-07,HUi-5307-4776,"Commercial, Short Sales, Property Management, Leasing",2.12
Evan Ramirez,evan.ramirez@example.com,9993350566,1998-02-03,2518 Lexington Ave,New York,NY,45504-5246,Staten Island,4799237892,hwilkinson@martinez.com,Active,0,2020-11-05,,,,
Ethan Cox,ethan.cox@example.com,8172565283,1973-05-26,9735 Mulberry Street,New York,NY,43076-7368,Queens,+1-459-717-5714x64028,djackson@morgan.com,On Leave,0,2019-09-29,,fgS-2011-1124,Luxury,2.19
Laura Bryant,laura.bryant@example.com,+1-723-297-6280x1338,1970-03-15,1372 3rd Ave,New York,NY,34536-7428,Staten Island,8278386211,nicholaspruitt@lee.com,Inactive,0,2020-08-04,,,,
Steven Johnson,steven.johnson@example.com,975.203.4481,1983-09-08,9745 Park Ave,New York,NY,33553-1137,Staten Island,+1-481-830-7656x199,lcraig@harrison-may.com,Active,0,2019-10-21,,prt-8674-8295,"Commercial, Investment, Short Sales, Foreclosures, Luxury",3.76
Charlotte Richardson,charlotte.richardson@example.com,001-640-886-1919x65061,1963-04-22,6454 5th Ave,New York,NY,17564-4507,Bronx,(873)661-5400,williamnelson@gibson.org,Terminated,0,2020-05-08,2019-12-02,,,
Megan Henderson,megan.henderson@example.com,001-836-325-0009x15788,1967-03-22,552 Columbus Ave,New York,NY,21353-4851,Manhattan,8278386211,nicholaspruitt@lee.com,Inactive,0,2023-05-04,,IqD-9607-4862,Residential,4.88
John Perry,john.perry@example.com,(330)497-8327x14478,1982-01-09,6628 Bleecker Street,New York,NY,71796-4923,Bronx,(794)903-5781x304,riverasteven@hicks.com,Active,0,2022-08-11,,,,
Michelle Smith,michelle.smith@example.com,001-526-354-6113,1958-01-31,10694 Bowery,New York,NY,15664-3218,Manhattan,(794)903-5781x304,riverasteven@hicks.com,On Leave,0,2019-12-10,,puR-5104-8972,"Residential, Luxury, Short Sales",1.39
Olivia Parker,olivia.parker@example.com,(894)576-0509x778,1949-01-23,01315 5th Ave,New York,NY,27049-4057,Staten Island,(873)661-5400,williamnelson@gibson.org,Active,0,2021-09-27,,,,
Victoria Hall,victoria.hall@example.com,+1-764-408-9296x538,1946-03-16,28724 Victory Blvd,New York,NY,40871-2879,Bronx,898-383-2512x851,robert99@bright-schwartz.com,Active,0,2022-07-20,,ozH-2102-5176,"Foreclosures, Leasing, Investment",3.32
Joshua Parker,joshua.parker@example.com,674-928-4038x503,2002-09-25,882 Roosevelt Ave,New York,NY,35683-1898,Manhattan,433.842.8128x753,mary03@alvarado-shaw.com,Active,0,2021-01-18,,,,
Rebecca Smith,rebecca.smith@example.com,+1-371-816-5501x608,1976-11-06,75073 Broadway,New York,NY,79134-6268,Queens,+1-459-717-5714x64028,djackson@morgan.com,Active,0,2022-10-08,,mBQ-3942-7732,"Investment, Property Management",2.78
Alexander Jones,alexander.jones@example.com,+1-923-566-9832x4108,1992-01-14,0746 Lexington Ave,New York,NY,26979-7035,Queens,898-383-2512x851,robert99@bright-schwartz.com,On Leave,0,2023-05-25,,,,
Alexander Hughes,alexander.hughes@example.com,(678)819-4459x661,1954-03-29,802 Queens Blvd,New York,NY,34494-1495,Manhattan,(873)661-5400,williamnelson@gibson.org,Inactive,0,2021-05-09,,UNC-7664-3007,"Property Management, Investment, Residential, Short Sales",1.74
Connor Johnson,connor.johnson@example.com,001-530-403-9288x894,2002-08-19,703 Astoria Blvd,New York,NY,50275-6165,Staten Island,8278386211,nicholaspruitt@lee.com,Active,0,2020-05-19,,,,
